Word_1	Part_1	Word_2	Part_2
production	noun	производство	существительное
treat	"verb	 noun"	обращаться	"глагол	 существительное"
trip	"noun	 verb"	путешествие	"существительное	 глагол"
evening	noun	вечер	существительное
affect	"verb	 noun"	оказывать воздействие	"глагол	 существительное"
inside	"preposition	 adverb	 noun	 adjective"	внутри	"предлог	 наречие	 существительное	 прилагательное"
conference	noun	конференция	существительное
unit	noun	единица	существительное
style	"noun	 verb"	стиль	"существительное	 глагол"
adult	"noun	 adjective"	взрослый	"существительное	 прилагательное"
worry	"verb	 noun"	волноваться	"глагол	 существительное"
range	"noun	 verb"	диапазон	"существительное	 глагол"
mention	"verb	 noun"	упомянуть	"глагол	 существительное"
deep	"adjective	 adverb	 noun"	глубокий	"прилагательное	 наречие	 существительное"
edge	"noun	 verb"	край	"существительное	 глагол"
specific	"adjective	 noun"	специфический	"прилагательное	 существительное"
writer	noun	писатель	существительное
trouble	"noun	 verb"	беда	"существительное	 глагол"
necessary	adjective	необходимый	прилагательное
throughout	"preposition	 adverb"	через	"предлог	 наречие"
challenge	"noun	 verb"	испытание	"существительное	 глагол"
fear	"noun	 verb"	страх	"существительное	 глагол"
shoulder	"noun	 verb"	плечо	"существительное	 глагол"
institution	noun	учреждение	существительное
middle	"noun	 adjective"	середина	"существительное	 прилагательное"
sea	noun	море	существительное
dream	"noun	 verb"	мечтать	"существительное	 глагол"
bar	"noun	 verb"	бар	"существительное	 глагол"
beautiful	adjective	красивый	прилагательное
property	noun	свойство	существительное
instead	adverb	вместо	наречие
improve	verb	улучшать	глагол
stuff	"noun	 verb"	вещи	"существительное	 глагол"
detail	"noun	 verb"	деталь	"существительное	 глагол"
method	noun	метод	существительное
somebody	pronoun	кто-нибудь	местоимение
magazine	noun	журнал	существительное
hotel	noun	отель	существительное
soldier	noun	солдат	существительное
reflect	verb	отражать	глагол
heavy	"adjective	 adverb"	тяжелый	"прилагательное	 наречие"
sexual	adjective	сексуальный	прилагательное
bag	"noun	 verb"	сумка	"существительное	 глагол"
heat	"noun	 verb"	нагревать	"существительное	 глагол"
marriage	noun	свадьба	существительное
tough	"adjective	 adverb"	жесткий	"прилагательное	 наречие"
sing	verb	петь	глагол
surface	"noun	 verb	 adjective"	поверхность	"существительное	 глагол	 прилагательное"
purpose	noun	цель	существительное
exist	verb	существовать	глагол
pattern	"noun	 verb"	шаблон	"существительное	 глагол"
whom	pronoun	кому	местоимение
skin	"noun	 verb"	кожа	"существительное	 глагол"
agent	noun	агент	существительное
owner	noun	владелец	существительное
machine	noun	машина	существительное
gas	"noun	 verb"	газ	"существительное	 глагол"
ahead	adverb	предстоящий	наречие
generation	noun	поколение	существительное
commercial	"adjective	 noun"	коммерческий	"прилагательное	 существительное"
address	"noun	 verb"	адрес	"существительное	 глагол"
cancer	noun	рак	существительное
item	noun	элемент	существительное
reality	noun	реальность	существительное
coach	"noun	 verb"	тренер	"существительное	 глагол"
mrs	noun (title)	Миссис	существительное (название)
yard	noun	площадка	существительное
beat	"verb	 noun"	бить	"глагол	 существительное"
violence	noun	насилие	существительное
total	verb	общий	глагол
tend	verb	иметь тенденцию	глагол
investment	noun	инвестиции	существительное
discussion	noun	обсуждение	существительное
finger	"noun	 verb"	палец	"существительное	 глагол"
garden	"noun	 verb"	сад	"существительное	 глагол"
notice	"noun	 verb"	уведомление	"существительное	 глагол"
collection	noun	коллекция	существительное
modern	"adjective	 noun"	современный	"прилагательное	 существительное"
task	"noun	 verb"	задача	"существительное	 глагол"
partner	"noun	 verb"	партнер	"существительное	 глагол"
positive	"adjective	 noun"	позитивный	"прилагательное	 существительное"
civil	adjective	гражданский	прилагательное
kitchen	noun	кухня	существительное
consumer	noun	потребитель	существительное
shot	"noun	 verb"	выстрелил	"существительное	 глагол"
budget	"noun	 verb"	бюджет	"существительное	 глагол"
wish	"verb	 noun"	желание	"глагол	 существительное"
painting	noun	рисование	существительное
scientist	noun	учёный	существительное
safe	"adjective	 noun"	безопасный	"прилагательное	 существительное"
agreement	noun	соглашение	существительное
capital	"noun	 adjective"	капитал	"существительное	 прилагательное"
mouth	"noun	 verb"	рот	"существительное	 глагол"
nor	conjunction	ни	соединение
victim	noun	жертва	существительное
newspaper	noun	газета	существительное
threat	noun	угроза	существительное
responsibility	noun	ответственность	существительное
smile	"noun	 verb"	улыбка	"существительное	 глагол"
attorney	noun	адвокат	существительное
score	"noun	 verb"	счет	"существительное	 глагол"
account	"noun	 verb"	счет	"существительное	 глагол"
interesting	adjective	интересный	прилагательное
audience	noun	аудитория	существительное
rich	"adjective	 noun"	богатый	"прилагательное	 существительное"
dinner	noun	ужин	существительное
vote	"noun	 verb"	голосование	"существительное	 глагол"
western	"adjective	 noun"	западный	"прилагательное	 существительное"
relate	verb	иметь отношение к	глагол
travel	"verb	 noun"	путешествовать	"глагол	 существительное"
debate	"noun	 verb"	дебаты	"существительное	 глагол"
prevent	verb	предотвращать	глагол
citizen	noun	гражданин	существительное
majority	noun	большинство	существительное
none	pronoun	никто	местоимение
front	"noun	 adjective	 verb"	передний	"существительное	 прилагательное	 глагол"
born	"verb	 adjective"	рожденный	"глагол	 прилагательное"
admit	verb	признавать	глагол
senior	"adjective	 noun"	старший	"прилагательное	 существительное"
assume	verb	предполагать	глагол
wind	"noun	 verb"	ветер	"существительное	 глагол"
key	"noun	 adjective	 verb"	ключ	"существительное	 прилагательное	 глагол"
professional	"adjective	 noun"	профессиональный	"прилагательное	 существительное"
mission	noun	миссия	существительное
fast	"adjective	 adverb	 verb"	быстрый	"прилагательное	 наречие	 глагол"
alone	"adjective	 adverb"	один	"прилагательное	 наречие"
customer	noun	клиент	существительное
suffer	verb	страдать	глагол
speech	noun	речь	существительное
successful	adjective	успешный	прилагательное
option	noun	вариант	существительное
participant	noun	участник	существительное
southern	adjective	южный	прилагательное
fresh	adjective	свежий	прилагательное
eventually	adverb	в конце концов	наречие
forest	noun	лес	существительное
video	noun	видео	существительное
global	adjective	глобальный	прилагательное
senate	noun	сенат	существительное
reform	noun verb	реформа	существительное глагол
access	"noun	 verb"	доступ	"существительное	 глагол"
restaurant	noun	ресторан	существительное
judge	"noun	 verb"	судить	"существительное	 глагол"
publish	verb	публиковать	глагол
relation	noun	связь	существительное
release	"verb	 noun"	выпускать	"глагол	 существительное"
bird		птица	#VALUE!
opinion	noun	мнение	существительное
credit	"noun	 verb"	кредит	"существительное	 глагол"
critical	adjective	критический	прилагательное
corner	"noun	 verb"	угол	"существительное	 глагол"
concerned	adjective	обеспокоенный	прилагательное
recall	"verb	 noun"	отзывать	"глагол	 существительное"
version	noun	версия	существительное
stare	"verb	 noun"	смотреть	"глагол	 существительное"
safety	noun	безопасность	существительное
effective	adjective	эффективный	прилагательное
neighborhood	noun	район	существительное
original	"adjective	 noun"	оригинальный	"прилагательное	 существительное"
troop	noun	отряд	существительное
income	noun	доход	существительное
directly	adverb	напрямую	наречие
hurt	"verb	 adjective	 noun"	повредить	"глагол	 прилагательное	 существительное"
species	noun	разновидность	существительное
immediately	adverb	немедленно	наречие
track	"noun	 verb"	отслеживать	"существительное	 глагол"
basic	"adjective	 noun"	базовый	"прилагательное	 существительное"
strike	"verb	 noun"	ударять	"глагол	 существительное"
sky	noun	небо	существительное
freedom	noun	свобода	существительное
absolutely	adverb	абсолютно	наречие
plane	noun	самолет	существительное
nobody	pronoun	никто	местоимение
achieve	verb	достигать	глагол
object	"noun	 verb"	объект	"существительное	 глагол"
attitude	noun	отношение	существительное
labor	"noun	 verb"	труд	"существительное	 глагол"
refer	verb	ссылаться	глагол
concept	noun	концепция	существительное
client	noun	клиент	существительное
powerful	adjective	мощный	прилагательное
perfect	"adjective	 verb"	идеальный	"прилагательное	 глагол"
nine	number	девять	число
therefore	adverb	поэтому	наречие
conduct	"noun	 verb"	руководить	"существительное	 глагол"
announce	verb	объявить	глагол
conversation	noun	беседа	существительное
examine	verb	исследовать	глагол
touch	"verb	 noun"	трогать	"глагол	 существительное"
please	"verb	 adverb"	пожалуйста	"глагол	 наречие"
attend	verb	посещать	глагол
completely	adverb	полностью	наречие
variety	noun	разнообразие	существительное
sleep	"noun	 verb"	спать	"существительное	 глагол"
involved	adjective	вовлеченный	прилагательное
investigation	noun	расследование	существительное
nuclear	adjective	ядерный	прилагательное
researcher	noun	исследователь	существительное
press	"noun	 verb"	нажимать	"существительное	 глагол"
conflict	"noun	 verb"	конфликт	"существительное	 глагол"
spirit	noun	дух	существительное
replace	verb	заменять	глагол
british	"adjective	 noun"	британский	"прилагательное	 существительное"
encourage	verb	поощрять	глагол
argument	noun	аргумент	существительное
camp	"noun	 verb"	лагерь	"существительное	 глагол"
brain	noun	мозг	существительное
feature	"noun	 verb"	особенность	"существительное	 глагол"
afternoon	noun	полдень	существительное
am	verb (auxiliary)	являюсь	глагол (вспомогательный)
weekend	noun	выходные	существительное
dozen	noun	дюжина	существительное
possibility	noun	возможность	существительное
insurance	noun	страхование	существительное
department	noun	отделение	существительное
battle	"noun	 verb"	боевой	"существительное	 глагол"
beginning	noun	начало	существительное
date	"noun	 verb"	дата	"существительное	 глагол"
generally	adverb	в целом	наречие
african	"adjective	 noun"	африканский	"прилагательное	 существительное"
sorry	adjective	извини	прилагательное
crisis	noun	кризис	существительное
complete	"adjective	 verb"	полный	"прилагательное	 глагол"
fan	"noun	 verb"	вентилятор	"существительное	 глагол"
stick	"noun	 verb"	палка	"существительное	 глагол"
define	verb	определять	глагол
easily	adverb	легко	наречие
hole	noun	дыра	существительное
element	noun	элемент	существительное
vision	noun	зрение	существительное
status	noun	статус	существительное
normal	"adjective	 noun"	нормальный	"прилагательное	 существительное"
chinese	"adjective	 noun"	китайский	"прилагательное	 существительное"
ship	"noun	 verb"	корабль	"существительное	 глагол"
solution	noun	решение	существительное
stone	noun	камень	существительное
slowly	adverb	медленно	наречие
scale	"noun	 verb"	шкала	"существительное	 глагол"
university	noun	университет	существительное
introduce	verb	представлять	глагол
driver	noun	водитель	существительное
attempt	"noun	 verb"	пытаться	"существительное	 глагол"
park	"noun	 verb"	парк	"существительное	 глагол"
spot	"noun	 verb"	место	"существительное	 глагол"
lack	"noun	 verb"	недостаток	"существительное	 глагол"
ice	noun	лед	существительное
boat	noun	лодка	существительное
drink	"verb	 noun"	напиток	"глагол	 существительное"
sun	noun	солнце	существительное
distance	"noun	 verb"	расстояние	"существительное	 глагол"
wood	noun	древесина	существительное
handle	"noun	 verb"	ручка	"существительное	 глагол"
truck	noun	грузовик	существительное
mountain	noun	гора	существительное
survey	"noun	 verb"	опрос	"существительное	 глагол"
supposed	adjective	предполагаемый	прилагательное
tradition	noun	традиция	существительное
winter	noun	зима	существительное
village	noun	деревня	существительное
soviet	"adjective	 noun"	советский	"прилагательное	 существительное"
refuse	"verb	 noun"	мусор	"глагол	 существительное"
sales	noun	продажи	существительное
roll	"verb	 noun"	рулон	"глагол	 существительное"
communication	noun	коммуникация	существительное
screen	"noun	 verb"	экран	"существительное	 глагол"
gain	"verb	 noun"	прирост	"глагол	 существительное"
resident	"noun	 adjective"	житель	"существительное	 прилагательное"
hide	"verb	 noun"	скрывать	"глагол	 существительное"
gold	"noun	 adjective"	золото	"существительное	 прилагательное"
club	"noun	 verb"	клуб	"существительное	 глагол"
farm	"noun	 verb"	ферма	"существительное	 глагол"
potential	"adjective	 noun"	потенциал	"прилагательное	 существительное"
european	"adjective	 noun"	европейский	"прилагательное	 существительное"
presence	noun	присутствие	существительное
independent	"adjective	 noun"	независимый	"прилагательное	 существительное"
district	noun	округ	существительное
shape	"noun	 verb"	форма	"существительное	 глагол"
reader	noun	читатель	существительное
ms	noun (title)	РС	существительное (название)
contract	"noun	 verb"	договор	"существительное	 глагол"
crowd	"noun	 verb"	толпа	"существительное	 глагол"
christian	"adjective	 noun"	христианин	"прилагательное	 существительное"
express	"verb	 adjective	 noun"	выражать	"глагол	 прилагательное	 существительное"
apartment	noun	квартира	существительное
willing	adjective	готовый	прилагательное
strength	noun	сила	существительное
previous	adjective	предыдущий	прилагательное
band	"noun	 verb"	группа	"существительное	 глагол"
obviously	adverb	очевидно	наречие
horse	noun	лошадь	существительное
interested	adjective	заинтересованный	прилагательное
target	"noun	 verb"	цель	"существительное	 глагол"
prison	noun	тюрьма	существительное
ride	"verb	 noun"	поездка	"глагол	 существительное"
guard	"noun	 verb"	сторожить	"существительное	 глагол"
terms	noun	условия	существительное
demand	"noun	 verb"	требовать	"существительное	 глагол"
reporter	noun	репортер	существительное
deliver	verb	доставлять	глагол
text	"noun	 verb"	текст	"существительное	 глагол"
tool	noun	инструмент	существительное
wild	"adjective	 adverb	 noun"	дикий	"прилагательное	 наречие	 существительное"
vehicle	noun	транспортное средство	существительное
observe	verb	наблюдать	глагол
flight	noun	полет	существительное
facility	noun	средство	существительное
understanding	noun	понимание	существительное
average	"adjective	 noun	 verb"	средний	"прилагательное	 существительное	 глагол"
emerge	verb	появляться	глагол
advantage	noun	преимущество	существительное
quick	"adjective	 adverb"	быстрый	"прилагательное	 наречие"
leadership	noun	лидерство	существительное
earn	verb	зарабатывать	глагол
pound	"noun	 verb"	фунт	"существительное	 глагол"
basis	noun	основа	существительное
bright	"adjective	 adverb"	яркий	"прилагательное	 наречие"
operate	verb	действовать	глагол
guest	noun	гость	существительное
sample	"noun	 verb"	образец	"существительное	 глагол"
contribute	verb	способствовать	глагол
tiny	adjective	крошечный	прилагательное
block	"noun	 verb"	блокировать	"существительное	 глагол"
protection	noun	защита	существительное
settle	verb	решить	глагол
feed	"verb	 noun"	кормить	"глагол	 существительное"
collect	verb	собирать	глагол
additional	adjective	дополнительный	прилагательное
highly	adverb	высоко	наречие
identity	noun	личность	существительное
title	noun	заголовок	существительное
mostly	adverb	по большей части	наречие
lesson	noun	урок	существительное
faith	noun	вера	существительное
river	noun	река	существительное
promote	verb	продвигать	глагол
living	"adjective	 noun"	жизнь	"прилагательное	 существительное"
count	"verb	 noun"	считать	"глагол	 существительное"
unless	conjunction	пока не	соединение
marry	verb	жениться	глагол
tomorrow	"adverb	 noun"	завтра	"наречие	 существительное"
technique	noun	техника	существительное
path	noun	путь	существительное
ear	noun	ухо	существительное
shop	"noun	 verb"	магазин	"существительное	 глагол"
folk	"noun	 adjective"	народный	"существительное	 прилагательное"
principle	noun	принцип	существительное
survive	verb	выживать	глагол
lift	"verb	 noun"	поднимать	"глагол	 существительное"
border	"noun	 verb"	граница	"существительное	 глагол"
competition	noun	соревнование	существительное
jump	"verb	 noun"	прыгать	"глагол	 существительное"
gather	verb	собирать	глагол
limit	"noun	 verb"	предел	"существительное	 глагол"
fit	noun	соответствовать	существительное
cry	"verb	 noun"	плакать	"глагол	 существительное"
equipment	noun	оборудование	существительное
worth	"adjective	 noun"	ценность	"прилагательное	 существительное"
associate	"verb	 noun	 adjective"	партнер	"глагол	 существительное	 прилагательное"
critic	noun	критик	существительное
warm	"adjective	 verb"	теплый	"прилагательное	 глагол"
aspect	noun	аспект	существительное
insist	verb	настаивать	глагол
failure	noun	отказ	существительное
annual	"adjective	 noun"	ежегодный	"прилагательное	 существительное"
french	"adjective	 noun"	французский	"прилагательное	 существительное"
christmas	noun	Рождество	существительное
comment	"noun	 verb"	комментарий	"существительное	 глагол"
responsible	adjective	ответственный	прилагательное
affair	noun	роман	существительное
procedure	noun	процедура	существительное
regular	"adjective	 noun"	обычный	"прилагательное	 существительное"
spread	"verb	 noun"	распространение	"глагол	 существительное"
chairman	noun	председатель	существительное
baseball	noun	бейсбол	существительное
soft	"adjective	 adverb"	мягкий	"прилагательное	 наречие"
ignore	verb	игнорировать	глагол
egg	noun	яйцо	существительное
belief	noun	вера	существительное
demonstrate	verb	демонстрировать	глагол
anybody	pronoun	кто-нибудь	местоимение
murder	"noun	 verb"	убийство	"существительное	 глагол"
gift	noun	подарок	существительное
religion	noun	религия	существительное
review	"noun	 verb"	обзор	"существительное	 глагол"
editor	noun	редактор	существительное
engage	verb	привлекать	глагол
coffee	noun	кофе	существительное
document	"noun	 verb"	документ	"существительное	 глагол"
speed	"noun	 verb"	скорость	"существительное	 глагол"
cross	"noun	 verb	 adjective"	крест	"существительное	 глагол	 прилагательное"
influence	"noun	 verb"	влияние	"существительное	 глагол"
anyway	adverb	в любом случае	наречие
threaten	verb	угрожать	глагол
commit	verb	совершить	глагол
female	"adjective	 noun"	женский	"прилагательное	 существительное"
youth	noun	молодость	существительное
wave	"noun	 verb"	волна	"существительное	 глагол"
afraid	adjective	испуганный	прилагательное
quarter	"noun	 verb"	четверть	"существительное	 глагол"
background	noun	фон	существительное
native	"adjective	 noun"	родной	"прилагательное	 существительное"
broad	adjective	широкий	прилагательное
wonderful	adjective	замечательный	прилагательное
deny	verb	отрицать	глагол
apparently	adverb	видимо	наречие
slightly	adverb	немного	наречие
reaction	noun	реакция	существительное
twice	adverb	дважды	наречие
suit	"noun	 verb"	подходить	"существительное	 глагол"
perspective	noun	перспектива	существительное
growing	adjective	растет	прилагательное
blow	noun	дуть	существительное
construction	noun	строительство	существительное
intelligence	noun	интеллект	существительное
destroy	verb	разрушать	глагол
cook	"verb	 noun"	готовить	"глагол	 существительное"
connection	noun	связь	существительное
burn	"verb	 noun"	гореть	"глагол	 существительное"
shoe	noun	туфля	существительное
grade	"noun	 verb"	оценка	"существительное	 глагол"
context	noun	контекст	существительное
committee	noun	комитет	существительное
hey	interjection	привет	междометие
mistake	"noun	 verb"	ошибка	"существительное	 глагол"
location	noun	расположение	существительное
clothes	noun	одежда	существительное
indian	"adjective	 noun"	индийский	"прилагательное	 существительное"
quiet	"adjective	 noun	 verb"	тихий	"прилагательное	 существительное	 глагол"
dress	"noun	 verb"	одеваться	"существительное	 глагол"
promise	"noun	 verb"	обещать	"существительное	 глагол"
aware	adjective	осведомленный	прилагательное
neighbor	noun	сосед	существительное
function	"noun	 verb"	функция	"существительное	 глагол"
bone	noun	кость	существительное
active	adjective	активный	прилагательное
extend	verb	продлевать	глагол
chief	"adjective	 noun"	главный	"прилагательное	 существительное"
combine	"verb	 noun"	объединить	"глагол	 существительное"
wine	noun	вино	существительное
below	"preposition	 adverb"	ниже	"предлог	 наречие"
cool	"adjective	 verb	 adverb"	прохладный	"прилагательное	 глагол	 наречие"
voter	noun	избиратель	существительное
learning	noun	обучение	существительное
bus	noun	автобус	существительное
hell	noun	ад	существительное
dangerous	adjective	опасный	прилагательное
remind	verb	напоминать	глагол
moral	"adjective	 noun"	моральный	"прилагательное	 существительное"
united	adjective	объединенный	прилагательное
category	noun	категория	существительное
relatively		относительно	#VALUE!
victory	noun	победа	существительное
academic	"adjective	 noun"	академический	"прилагательное	 существительное"
internet	noun	Интернет	существительное
healthy	adjective	здоровый	прилагательное
negative	"adjective	 noun"	отрицательный	"прилагательное	 существительное"
following	"adjective	 noun	 preposition"	следующий	"прилагательное	 существительное	 предлог"
historical	adjective	исторический	прилагательное
medicine	noun	лекарство	существительное
tour	"noun	 verb"	тур	"существительное	 глагол"
depend	verb	зависеть	глагол
photo	noun	фото	существительное
finding	noun	нахождение	существительное
grab	"verb	 noun"	схватить	"глагол	 существительное"
direct	"adjective	 verb"	прямой	"прилагательное	 глагол"
classroom	noun	класс	существительное
contact	"noun	 verb"	контакт	"существительное	 глагол"
justice	noun	справедливость	существительное
participate	verb	участвовать	глагол
daily	"adjective	 adverb	 noun"	ежедневно	"прилагательное	 наречие	 существительное"
fair	"adjective	 adverb	 noun"	справедливый	"прилагательное	 наречие	 существительное"
pair	"noun	 verb"	пара	"существительное	 глагол"
famous	adjective	известный	прилагательное
exercise	"noun	 verb"	упражнение	"существительное	 глагол"
knee	noun	колено	существительное
flower	"noun	 verb"	цветок	"существительное	 глагол"
tape	"noun	 verb"	лента	"существительное	 глагол"
hire	"verb	 noun"	нанимать	"глагол	 существительное"
familiar	adjective	привычный	прилагательное
appropriate	"adjective	 verb"	соответствующий	"прилагательное	 глагол"
supply	"noun	 verb"	поставлять	"существительное	 глагол"
fully	adverb	полностью	наречие
actor	noun	актер	существительное
birth	noun	рождение	существительное
search	"noun	 verb"	поиск	"существительное	 глагол"
tie	"noun	 verb"	галстук	"существительное	 глагол"
democracy	noun	демократия	существительное
eastern	adjective	восточный	прилагательное
primary	"adjective	 noun"	начальный	"прилагательное	 существительное"
yesterday	"adverb	 noun"	вчера	"наречие	 существительное"
circle	"noun	 verb"	круг	"существительное	 глагол"
device	noun	устройство	существительное
progress	"noun	 verb"	прогресс	"существительное	 глагол"
bottom	"noun	 adjective"	нижний	"существительное	 прилагательное"
island	noun	остров	существительное
exchange	"noun	 verb"	обмен	"существительное	 глагол"
clean	"adjective	 verb	 adverb"	чистый	"прилагательное	 глагол	 наречие"
studio	noun	студия	существительное
train	"noun	 verb"	тренироваться	"существительное	 глагол"
lady	noun	леди	существительное
colleague	noun	коллега	существительное
application	noun	приложение	существительное
neck	noun	шея	существительное
lean	"verb	 adjective	 noun"	наклонять	"глагол	 прилагательное	 существительное"
damage	"noun	 verb"	повреждать	"существительное	 глагол"
plastic	"noun	 adjective"	пластик	"существительное	 прилагательное"
tall	adjective	высокий	прилагательное
plate	"noun	 verb"	тарелка	"существительное	 глагол"
hate	"verb	 noun"	ненавидеть	"глагол	 существительное"
otherwise	"adverb	 adjective"	в противном случае	"наречие	 прилагательное"
writing	noun	письмо	существительное
male	"adjective	 noun"	мужской	"прилагательное	 существительное"
alive	adjective	живой	прилагательное
expression	noun	выражение	существительное
football	noun	футбол	существительное
intend	verb	намереваться	глагол
chicken	noun	курица	существительное
army	noun	армия	существительное
abuse	noun verb	злоупотреблять	существительное глагол
theater	noun	театр	существительное
shut	"verb	 adjective"	закрыть	"глагол	 прилагательное"
map	"noun	 verb"	карта	"существительное	 глагол"
extra	"adjective	 adverb	 noun"	дополнительный	"прилагательное	 наречие	 существительное"
session	noun	сессия	существительное
danger	noun	Опасность	существительное
welcome	"adjective	 verb	 noun	 interjection"	добро пожаловать	"прилагательное	 глагол	 существительное	 междометие"
domestic	"adjective	 noun"	одомашненный	"прилагательное	 существительное"
lots	"noun	 adverb"	много	"существительное	 наречие"
literature	noun	литература	существительное
rain	"noun	 verb"	дождь	"существительное	 глагол"
desire	"noun	 verb"	желание	"существительное	 глагол"
assessment	noun	оценка	существительное
injury	noun	рана	существительное
respect	"noun	 verb"	уважать	"существительное	 глагол"
northern	adjective	северный	прилагательное
nod	verb	кивок	глагол
paint	"noun	 verb"	краска	"существительное	 глагол"
fuel	"noun	 verb"	топливо	"существительное	 глагол"
leaf	noun	лист	существительное
dry	"adjective	 verb"	сухой	"прилагательное	 глагол"
russian	"adjective	 noun"	русский	"прилагательное	 существительное"
instruction	noun	инструкция	существительное
pool	"noun	 verb"	бассейн	"существительное	 глагол"
climb	"verb	 noun"	взбираться	"глагол	 существительное"
sweet	"adjective	 noun"	сладкий	"прилагательное	 существительное"
engine	noun	двигатель	существительное
fourth	"number	 noun	 adjective"	четвертый	"число	 существительное	 прилагательное"
salt	"noun	 verb"	соль	"существительное	 глагол"
expand	verb	расширять	глагол
importance	noun	важность	существительное
metal	"noun	 adjective"	металл	"существительное	 прилагательное"
fat	"adjective	 noun"	толстый	"прилагательное	 существительное"
ticket	noun	билет	существительное
software	noun	программное обеспечение	существительное
disappear	verb	пропадать	глагол
corporate	adjective	корпоративный	прилагательное
strange	adjective	странный	прилагательное
lip	noun	губа	существительное
reading	noun	чтение	существительное
urban	adjective	городской	прилагательное
mental	adjective	умственный	прилагательное
increasingly	adverb	все больше	наречие
lunch	noun	обед	существительное
educational	adjective	образовательный	прилагательное
somewhere	"adverb	 noun"	где-то	"наречие	 существительное"
farmer	noun	фермер	существительное
sugar	"noun	 verb"	сахар	"существительное	 глагол"
planet	noun	планета	существительное
favorite	"adjective	 noun"	любимый	"прилагательное	 существительное"
explore	verb	исследовать	глагол
obtain	verb	получать	глагол
enemy	noun	враг	существительное
greatest	adjective	величайший	прилагательное
complex	"adjective	 noun"	сложный	"прилагательное	 существительное"
surround	"verb	 noun"	окружать	"глагол	 существительное"
athlete	noun	спортсмен	существительное
invite	"verb	 noun"	приглашать	"глагол	 существительное"
repeat	"verb	 noun"	повторить	"глагол	 существительное"
carefully	adverb	осторожно	наречие
soul	noun	душа	существительное
scientific	adjective	научный	прилагательное
impossible	adjective	невозможный	прилагательное
panel	noun	панель	существительное
meaning	noun	значение	существительное
mom	noun	мама	существительное
married	adjective	женатый	прилагательное
instrument	noun	инструмент	существительное
predict	verb	предсказывать	глагол
weather	"noun	 verb"	погода	"существительное	 глагол"
presidential	adjective	президентский	прилагательное
emotional	adjective	эмоциональный	прилагательное
commitment	noun	обязательство	существительное
supreme	adjective	верховный	прилагательное
bear	"verb	 noun"	медведь	"глагол	 существительное"
pocket	"noun	 verb	 adjective"	карман	"существительное	 глагол	 прилагательное"
thin	"adjective	 verb"	тонкий	"прилагательное	 глагол"
temperature	noun	температура	существительное
surprise	"noun	 verb"	сюрприз	"существительное	 глагол"
poll	noun	голосование	существительное
proposal	noun	предложение	существительное
consequence	noun	последствие	существительное
breath	noun	дыхание	существительное
sight	noun	взгляд	существительное
balance	"noun	 verb"	баланс	"существительное	 глагол"
adopt	verb	усыновить	глагол
minority	noun	меньшинство	существительное
straight	"adjective	 adverb"	прямой	"прилагательное	 наречие"
connect	verb	соединять	глагол
works	"noun	 verb"	работает	"существительное	 глагол"
teaching	noun	преподавание	существительное
belong	verb	принадлежать	глагол
aid	"noun	 verb"	помогать	"существительное	 глагол"
advice	noun	совет	существительное
okay	"adjective	 adverb	 interjection	 noun	 verb"	хорошо	"прилагательное	 наречие	 междометие	 существительное	 глагол"
photograph	"noun	 verb"	фотография	"существительное	 глагол"
empty	"adjective	 verb"	пустой	"прилагательное	 глагол"
regional	adjective	региональный	прилагательное
trail	noun verb	тащить	существительное глагол
novel	adjective	роман	прилагательное
code	"noun	 verb"	код	"существительное	 глагол"
somehow	adverb	как-то	наречие
organize	verb	организовать	глагол
jury	noun	жюри	существительное
breast	noun	грудь	существительное
iraqi	"adjective	 noun"	Иракский	"прилагательное	 существительное"
acknowledge	verb	сознавать	глагол
theme	noun	тема	существительное
storm	"noun	 verb"	шторм	"существительное	 глагол"
union	noun	союз	существительное
